Periodo	Computadora de escritorio	Computadora portatil	Computadora de escritorio y portatil	Telefonía fija	Telefonia celular
dic-07	20,29	0,00	0,00	35,52	0,00
dic-08	22,84	0,00	0,00	37,10	0,00
dic-09	23,37	0,00	0,00	35,64	0,00
dic-10	24,01	9,00	6,05	38,49	49,68
dic-11	24,71	9,81	5,76	39,92	78,83
dic-12	26,41	13,86	8,05	42,37	81,67
dic-13	27,50	18,06	9,86	39,55	86,42
dic-14	27,06	20,60	10,16	38,25	89,70
dic-15	27,66	24,76	11,58	38,93	89,54
dic-16	26,73	27,60	11,98	38,40	90,10
dic-17	25,88	26,00	11,16	36,95	90,66
dic-18	24,47	24,19	11,23	0,00	0,00
